epoch,mean_ops,median_ops
0,2.4926,2.0
100,6.4825,2.0
200,13.4679,5.0
300,21.7997,11.0
400,26.0746,18.0
500,25.2651,19.0
600,22.9105,18.0
700,20.4490,16.0
800,18.8421,15.0
900,17.7729,14.0
1000,17.0274,13.0
1100,16.4796,12.0
1200,16.1436,12.0
1300,15.9111,12.0
1400,15.8511,12.0
1500,15.7275,12.0
1600,15.5598,12.0
1700,15.4357,12.0
1800,15.4470,12.0
1900,15.5622,12.0
2000,15.5281,12.0
2100,15.5807,12.0
2200,15.5642,12.0
2300,15.5884,12.0
2400,15.5690,12.0
2500,15.5542,12.0
2600,15.5162,12.0
2700,15.6195,12.0
2800,15.6863,12.0
2900,15.6420,12.0
3000,15.5311,12.0
3100,15.5975,12.0
3200,15.5491,12.0
3300,15.4160,12.0
3400,15.4888,12.0
3500,15.6284,12.0
3600,15.6401,12.0
3700,15.7066,12.0
3800,15.6360,12.0
3900,15.7490,12.0
4000,15.8095,12.0
4100,15.7311,12.0
4200,15.6987,12.0
4300,15.7693,12.0
4400,15.8150,12.0
4500,15.9859,12.0
4600,15.7865,12.0
4700,15.7941,12.0
4800,15.6705,12.0
4900,15.6892,12.0
5000,15.6671,12.0
