epoch,mean_ops,median_ops
0,2.4972,2.0
100,6.5461,2.0
200,13.6950,5.0
300,22.8163,12.0
400,28.7822,21.0
500,27.7260,22.0
600,23.9839,19.0
700,21.2272,17.0
800,19.2207,15.0
900,17.9697,14.0
1000,17.0574,13.0
1100,16.3265,13.0
1200,15.9756,12.0
1300,15.7923,12.0
1400,15.5723,12.0
1500,15.5106,12.0
1600,15.4173,12.0
1700,15.3190,12.0
1800,15.3787,12.0
1900,15.3667,12.0
2000,15.4744,12.0
2100,15.4221,12.0
2200,15.5256,12.0
2300,15.6635,12.0
2400,15.5020,12.0
2500,15.4722,12.0
2600,15.4628,12.0
2700,15.6338,12.0
2800,15.6381,12.0
2900,15.7954,12.0
3000,15.7696,12.0
3100,15.8100,12.0
3200,15.7610,12.0
3300,15.7974,12.0
3400,15.8381,12.0
3500,15.7825,12.0
3600,15.8876,12.0
3700,15.7056,12.0
3800,15.9728,12.0
3900,16.0897,12.0
4000,16.2760,12.0
4100,16.0829,12.0
4200,15.9411,12.0
4300,16.0374,12.0
4400,16.1445,12.0
4500,16.1095,12.0
4600,16.0744,12.0
4700,16.0368,12.0
4800,16.1330,12.0
4900,16.0873,12.0
5000,16.0492,12.0
