epoch,mean_ops,median_ops
0,2.5094,2.0
100,6.4044,2.0
200,12.8324,5.0
300,21.8835,11.0
400,28.1591,20.0
500,28.2312,22.0
600,24.5865,20.0
700,21.5062,17.0
800,19.4698,15.0
900,18.0002,14.0
1000,17.0471,13.0
1100,16.6674,13.0
1200,16.2887,12.0
1300,16.1325,12.0
1400,16.0660,12.0
1500,15.9257,12.0
1600,15.7990,12.0
1700,15.8475,12.0
1800,15.6894,12.0
1900,15.6706,12.0
2000,15.8115,12.0
2100,15.8113,12.0
2200,15.8332,12.0
2300,15.9788,12.0
2400,16.0406,12.0
2500,16.1082,12.0
2600,15.9543,12.0
2700,16.0319,12.0
2800,16.1033,12.0
2900,16.0620,12.0
3000,15.9813,12.0
3100,16.0044,12.0
3200,15.7761,12.0
3300,15.7682,12.0
3400,15.7584,12.0
3500,15.6597,12.0
3600,15.6694,12.0
3700,15.7417,12.0
3800,15.5884,12.0
3900,15.8743,12.0
4000,15.8780,12.0
4100,15.7343,12.0
4200,15.6900,12.0
4300,15.6953,12.0
4400,15.7253,12.0
4500,15.7075,12.0
4600,15.6586,12.0
4700,15.6087,12.0
4800,15.5946,12.0
4900,15.6394,12.0
5000,15.6629,12.0
